run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
86,0.8,5.0,13.0,65.0,144.0
87,0.8,5.0,3.0,115.0,165.0
88,0.8,5.0,8.0,111.0,221.0
89,0.8,5.0,11.0,56.0,170.0
90,0.8,5.0,13.0,77.0,137.0
91,0.8,4.0,6.0,119.0,196.0
92,0.8,7.0,8.0,93.0,183.0
93,0.8,5.0,10.0,51.0,109.0
94,0.8,6.0,18.0,51.0,96.0
95,0.8,5.0,19.0,44.0,131.0
96,0.8,4.0,15.0,69.0,121.0
97,0.8,4.0,14.0,66.0,117.0
98,0.8,6.0,8.0,69.0,171.0
99,0.8,7.0,3.0,87.0,205.0
100,0.8,5.0,14.0,58.0,127.0
1,0.9,5.0,8.0,86.0,157.0
2,0.9,5.0,8.0,96.0,150.0
3,0.9,4.0,17.0,77.0,113.0
4,0.9,5.0,10.0,84.0,158.0
5,0.9,6.0,13.0,70.0,165.0
6,0.9,6.0,14.0,80.0,223.0
7,0.9,6.0,3.0,128.0,238.0
8,0.9,7.0,8.0,101.0,270.0
9,0.9,4.0,6.0,103.0,187.0
10,0.9,5.0,4.0,130.0,226.0
11,0.9,6.0,14.0,38.0,51.0
12,0.9,4.0,11.0,67.0,155.0
13,0.9,6.0,16.0,53.0,153.0
14,0.9,5.0,11.0,101.0,182.0
15,0.9,6.0,11.0,80.0,179.0
16,0.9,6.0,5.0,95.0,178.0
17,0.9,5.0,10.0,29.0,50.0
18,0.9,4.0,16.0,28.0,61.0
19,0.9,5.0,11.0,76.0,142.0
20,0.9,5.0,12.0,66.0,173.0
21,0.9,6.0,7.0,93.0,200.0
22,0.9,8.0,13.0,50.0,148.0
23,0.9,6.0,7.0,96.0,185.0
24,0.9,5.0,17.0,22.0,76.0
25,0.9,5.0,15.0,59.0,115.0
26,0.9,5.0,5.0,99.0,226.0
27,0.9,6.0,7.0,110.0,241.0
28,0.9,5.0,15.0,76.0,168.0
29,0.9,6.0,15.0,66.0,205.0
30,0.9,6.0,12.0,80.0,199.0
31,0.9,5.0,5.0,121.0,216.0
32,0.9,5.0,8.0,110.0,238.0
33,0.9,5.0,1.0,111.0,238.0
34,0.9,5.0,5.0,110.0,248.0
35,0.9,4.0,18.0,39.0,64.0
36,0.9,4.0,12.0,72.0,125.0
37,0.9,5.0,13.0,96.0,197.0
38,0.9,4.0,5.0,97.0,150.0
39,0.9,5.0,4.0,133.0,217.0
40,0.9,5.0,8.0,76.0,102.0
41,0.9,4.0,4.0,103.0,138.0
42,0.9,5.0,19.0,27.0,58.0
43,0.9,5.0,13.0,64.0,136.0
44,0.9,6.0,14.0,80.0,158.0
45,0.9,5.0,8.0,71.0,159.0
46,0.9,5.0,11.0,115.0,196.0
47,0.9,5.0,10.0,56.0,73.0
48,0.9,5.0,7.0,102.0,203.0
49,0.9,5.0,18.0,27.0,85.0
50,0.9,6.0,19.0,59.0,144.0
51,0.9,5.0,11.0,75.0,118.0
52,0.9,5.0,8.0,103.0,176.0
53,0.9,6.0,4.0,120.0,241.0
54,0.9,5.0,9.0,106.0,225.0
55,0.9,5.0,11.0,38.0,102.0
56,0.9,4.0,18.0,25.0,62.0
57,0.9,6.0,15.0,58.0,164.0
58,0.9,6.0,16.0,66.0,146.0
59,0.9,5.0,5.0,134.0,244.0
60,0.9,5.0,2.0,87.0,169.0
61,0.9,6.0,13.0,50.0,113.0
62,0.9,5.0,6.0,112.0,242.0
63,0.9,5.0,9.0,59.0,86.0
64,0.9,4.0,8.0,119.0,206.0
65,0.9,4.0,14.0,92.0,144.0
66,0.9,5.0,4.0,81.0,147.0
67,0.9,6.0,8.0,56.0,133.0
68,0.9,5.0,2.0,119.0,186.0
69,0.9,4.0,15.0,27.0,73.0
70,0.9,5.0,3.0,122.0,239.0
71,0.9,4.0,4.0,124.0,248.0
72,0.9,5.0,11.0,50.0,99.0
73,0.9,5.0,11.0,72.0,140.0
74,0.9,4.0,13.0,80.0,160.0
75,0.9,5.0,6.0,109.0,216.0
76,0.9,5.0,12.0,60.0,141.0
77,0.9,4.0,12.0,5.0,20.0
78,0.9,6.0,2.0,116.0,286.0
79,0.9,4.0,13.0,91.0,159.0
80,0.9,5.0,3.0,101.0,233.0
