run,peak_infection,total_abx_days,abx_days_per_baby,selection_events,transmission_R,total_recoveries,cumulative_I_R,scenario,baseline,strategy,prevalence_I_R
24,4.0,276.0,92.0,6.0,66.0,51.0,99.0,Mid_A,Mid,A,0.06971830985915493
25,6.0,217.0,54.25,0.0,151.0,49.0,314.0,Mid_A,Mid,A,0.2211267605633803
26,5.0,271.0,27.1,1.0,75.0,39.0,132.0,Mid_A,Mid,A,0.09295774647887324
27,4.0,356.0,44.5,9.0,8.0,61.0,14.0,Mid_A,Mid,A,0.009859154929577466
28,5.0,275.0,55.0,6.0,90.0,50.0,192.0,Mid_A,Mid,A,0.1352112676056338
29,7.0,224.0,Inf,2.0,118.0,47.0,177.0,Mid_A,Mid,A,0.12464788732394366
30,5.0,261.0,26.1,6.0,77.0,49.0,127.0,Mid_A,Mid,A,0.08943661971830986
31,5.0,293.0,29.3,3.0,90.0,59.0,192.0,Mid_A,Mid,A,0.1352112676056338
32,5.0,376.0,37.6,5.0,27.0,55.0,45.0,Mid_A,Mid,A,0.03169014084507042
33,5.0,321.0,32.1,9.0,63.0,60.0,140.0,Mid_A,Mid,A,0.09859154929577464
34,5.0,336.0,33.6,10.0,44.0,43.0,84.0,Mid_A,Mid,A,0.059154929577464786
35,6.0,207.0,20.7,3.0,107.0,39.0,231.0,Mid_A,Mid,A,0.16267605633802817
36,5.0,263.0,87.67,3.0,99.0,38.0,194.0,Mid_A,Mid,A,0.13661971830985917
37,6.0,302.0,30.2,5.0,91.0,62.0,207.0,Mid_A,Mid,A,0.14577464788732394
38,6.0,219.0,54.75,0.0,131.0,47.0,272.0,Mid_A,Mid,A,0.19154929577464788
39,7.0,287.0,28.7,4.0,92.0,47.0,177.0,Mid_A,Mid,A,0.12464788732394366
40,5.0,340.0,56.67,7.0,8.0,55.0,26.0,Mid_A,Mid,A,0.018309859154929577
41,6.0,198.0,19.8,3.0,84.0,44.0,185.0,Mid_A,Mid,A,0.13028169014084506
42,5.0,369.0,36.9,4.0,33.0,44.0,83.0,Mid_A,Mid,A,0.05845070422535211
43,5.0,297.0,29.7,4.0,52.0,51.0,92.0,Mid_A,Mid,A,0.0647887323943662
44,5.0,326.0,65.2,6.0,32.0,56.0,70.0,Mid_A,Mid,A,0.04929577464788732
45,5.0,337.0,112.33,8.0,57.0,61.0,130.0,Mid_A,Mid,A,0.09154929577464789
46,5.0,352.0,35.2,6.0,22.0,49.0,52.0,Mid_A,Mid,A,0.036619718309859155
47,6.0,203.0,40.6,0.0,128.0,54.0,231.0,Mid_A,Mid,A,0.16267605633802817
48,5.0,262.0,29.11,4.0,110.0,38.0,258.0,Mid_A,Mid,A,0.18169014084507043
49,5.0,239.0,39.83,0.0,96.0,49.0,145.0,Mid_A,Mid,A,0.10211267605633803
50,6.0,287.0,28.7,5.0,114.0,45.0,291.0,Mid_A,Mid,A,0.20492957746478874
51,4.0,272.0,272.0,7.0,85.0,47.0,158.0,Mid_A,Mid,A,0.11126760563380282
52,5.0,389.0,64.83,7.0,23.0,55.0,27.0,Mid_A,Mid,A,0.019014084507042252
53,6.0,271.0,54.2,9.0,97.0,41.0,166.0,Mid_A,Mid,A,0.11690140845070422
54,5.0,318.0,318.0,7.0,38.0,50.0,59.0,Mid_A,Mid,A,0.04154929577464789
55,4.0,338.0,33.8,9.0,30.0,59.0,29.0,Mid_A,Mid,A,0.020422535211267606
56,4.0,328.0,41.0,8.0,17.0,60.0,28.0,Mid_A,Mid,A,0.01971830985915493
57,5.0,312.0,52.0,5.0,4.0,55.0,6.0,Mid_A,Mid,A,0.004225352112676056
58,4.0,348.0,49.71,4.0,12.0,45.0,9.0,Mid_A,Mid,A,0.006338028169014085
59,5.0,330.0,55.0,5.0,12.0,66.0,24.0,Mid_A,Mid,A,0.016901408450704224
60,5.0,223.0,74.33,3.0,124.0,38.0,202.0,Mid_A,Mid,A,0.14225352112676057
61,5.0,369.0,36.9,13.0,61.0,56.0,125.0,Mid_A,Mid,A,0.0880281690140845
62,4.0,254.0,63.5,4.0,100.0,46.0,154.0,Mid_A,Mid,A,0.10845070422535211
63,4.0,369.0,36.9,12.0,8.0,48.0,34.0,Mid_A,Mid,A,0.023943661971830985
64,4.0,346.0,69.2,4.0,29.0,63.0,36.0,Mid_A,Mid,A,0.02535211267605634
65,4.0,384.0,48.0,7.0,5.0,62.0,27.0,Mid_A,Mid,A,0.019014084507042252
66,4.0,272.0,68.0,6.0,59.0,45.0,72.0,Mid_A,Mid,A,0.05070422535211268
67,4.0,263.0,87.67,3.0,35.0,57.0,55.0,Mid_A,Mid,A,0.03873239436619718
68,4.0,324.0,32.4,9.0,51.0,46.0,101.0,Mid_A,Mid,A,0.07112676056338028
69,4.0,371.0,37.1,5.0,19.0,64.0,34.0,Mid_A,Mid,A,0.023943661971830985
